pais_continente,seleccion,continente,participaciones,pg,pe,pp,goles_favor,goles_contra,titulos,pj,campeon,puntos,dg,intervalos
Alemania Democrática - Europa,Alemania Democrática,Europa,1,2,2,2,5,5,0,6,no campeón,8,0,"[0,50)"
Grecia - Europa,Grecia,Europa,3,2,2,6,5,20,0,10,no campeón,8,-15,"[0,50)"
Ucrania - Europa,Ucrania,Europa,1,2,1,2,5,7,0,5,no campeón,7,-2,"[0,50)"
Gales - Europa,Gales,Europa,2,1,4,3,5,10,0,8,no campeón,7,-5,"[0,50)"
Eslovaquia - Europa,Eslovaquia,Europa,1,1,1,2,5,7,0,4,no campeón,4,-2,"[0,50)"
Eslovenia - Europa,Eslovenia,Europa,2,1,1,4,5,10,0,6,no campeón,4,-5,"[0,50)"
Cuba - América,Cuba,América,1,1,1,1,5,12,0,3,no campeón,4,-7,"[0,50)"
Corea del Norte - Asia,Corea del Norte,Asia,2,1,1,5,6,21,0,7,no campeón,4,-15,"[0,50)"
Bosnia y Herzegovina - Europa,Bosnia y Herzegovina,Europa,1,1,0,2,4,4,0,3,no campeón,3,0,"[0,50)"
Jamaica - América,Jamaica,América,1,1,0,2,3,9,0,3,no campeón,3,-6,"[0,50)"
Nueva Zelanda - Oceanía,Nueva Zelanda,Oceanía,2,0,3,3,4,14,0,6,no campeón,3,-10,"[0,50)"
Honduras - América,Honduras,América,3,0,3,6,3,14,0,9,no campeón,3,-11,"[0,50)"
Angola - África,Angola,África,1,0,2,1,1,2,0,3,no campeón,2,-1,"[0,50)"
Israel - Asia,Israel,Asia,1,0,2,1,1,3,0,3,no campeón,2,-2,"[0,50)"
Egipto - África,Egipto,África,3,0,2,5,5,12,0,7,no campeón,2,-7,"[0,50)"
Islandia - Europa,Islandia,Europa,1,0,1,2,2,5,0,3,no campeón,1,-3,"[0,50)"
Kuwait - Asia,Kuwait,Asia,1,0,1,2,2,6,0,3,no campeón,1,-4,"[0,50)"
Trinidad y Tobago - América,Trinidad y Tobago,América,1,0,1,2,0,4,0,3,no campeón,1,-4,"[0,50)"
Bolivia - América,Bolivia,América,3,0,1,5,1,20,0,6,no campeón,1,-19,"[0,50)"
Irak - Asia,Irak,Asia,1,0,0,3,1,4,0,3,no campeón,0,-3,"[0,50)"
Togo - África,Togo,África,1,0,0,3,1,6,0,3,no campeón,0,-5,"[0,50)"
Catar - Asia,Catar,Asia,1,0,0,3,1,7,0,3,no campeón,0,-6,"[0,50)"
Indonesia - Asia,Indonesia,Asia,1,0,0,1,0,6,0,1,no campeón,0,-6,"[0,50)"
Panamá - América,Panamá,América,1,0,0,3,2,11,0,3,no campeón,0,-9,"[0,50)"
Emiratos Árabes Unidos - Asia,Emiratos Árabes Unidos,Asia,1,0,0,3,2,11,0,3,no campeón,0,-9,"[0,50)"
China - Asia,China,Asia,1,0,0,3,0,9,0,3,no campeón,0,-9,"[0,50)"
Canadá - América,Canadá,América,2,0,0,6,2,12,0,6,no campeón,0,-10,"[0,50)"
Haití - América,Haití,América,1,0,0,3,2,14,0,3,no campeón,0,-12,"[0,50)"
R. D. del Congo - África,R. D. del Congo,África,1,0,0,3,0,14,0,3,no campeón,0,-14,"[0,50)"
El Salvador - América,El Salvador,América,2,0,0,6,1,22,0,6,no campeón,0,-21,"[0,50)"
